Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmen;Gültige Stimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Nationaldemokratische Partei Deutschlands;Freie Demokratische Partei;Familien-Partei Deutschlands;PARTEI MENSCH UMWELT TIERSCHUTZ;Piratenpartei Deutschland;FREIE WÄHLER;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Ab jetzt...Demokratie durch Volksabstimmung Politik für die;Deutsche Kommunistische Partei;Ökologisch-Demokratische Partei;Marxistisch-Leninistische Partei Deutschlands;Sozialistische Gleichheitspartei, Vierte Internationale;Bayernpartei;Aktion Partei für Tierschutz – DAS ORIGINAL;Allianz für Menschenrechte, Tier- und Naturschutz;Bündnis C - Christen für Deutschland;Bündnis für Innovation & Gerechtigkeit;Bündnis Grundeinkommen Die Grundeinkommenspartei;Demokratie DIREKT!;Demokratie in Europa - DiEM25;DER DRITTE WEG;Die Grauen – Für alle Generationen;DIE RECHTE – Partei für Volksabstimmung, Souveränität u;Die Violetten;Europäische Partei LIEBE;Feministische Partei DIE FRAUEN;Graue Panther;LKR Bernd Lucke und die Liberal-Konservativen Reformer;Menschliche Welt für das Wohl und Glücklichsein aller;Neue Liberale – Die Sozialliberalen;Ökologische Linke;Partei der Humanisten;PARTEI FÜR DIE TIERE DEUTSCHLAND;Partei für Gesundheitsforschung;Volt Deutschland
6503;Waldstadt II - Kiefernring/Sonnentaustr.;834;163;997;378;0;4;374;54;33;76;74;46;0;7;9;6;5;5;16;1;4;0;1;1;1;3;3;0;0;1;0;5;3;1;0;1;1;0;4;0;2;0;0;1;5;2;3
6506;Waldstadt II - Liefelds Grund;792;104;896;304;2;8;296;57;24;82;45;22;3;2;9;13;2;6;8;0;0;4;0;0;0;2;0;1;0;1;0;2;1;0;0;0;0;0;2;2;1;0;0;0;2;1;4
7102;Stern - Lilienthalstr.;987;152;1139;467;2;9;458;85;44;101;94;36;3;13;9;14;4;5;15;0;0;0;2;0;1;4;4;0;0;1;1;1;2;1;2;1;0;0;1;0;0;0;1;2;1;4;6
7104;Stern - In der Aue/Gluckstr.;1058;219;1277;617;2;9;608;129;64;132;86;79;1;18;11;12;4;10;22;0;1;6;1;0;0;4;2;0;0;1;0;5;1;1;0;0;2;0;3;0;0;1;0;4;2;4;2
7108;Stern - Leibnizring;663;108;771;244;0;3;241;39;25;63;37;31;0;6;6;7;2;6;6;0;0;2;0;1;0;3;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;1;1;0;0
7202;Drewitz - Sterncenter/Erich-Pommer-Str.;933;99;1032;398;0;9;389;97;53;75;47;39;1;12;7;9;5;1;12;3;3;0;1;1;0;3;2;0;1;3;2;1;0;1;0;1;0;1;2;0;0;1;0;1;0;0;4
7205;Drewitz - Willy-A.-Kleinau-Weg;650;76;726;221;0;2;219;45;20;34;56;24;3;5;6;4;1;0;10;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;1;0;0;0;0;0;0;0;2
7206;Drewitz - Gerlachstr/E-v-Winterstein-Str;629;57;686;219;0;1;218;38;14;49;46;15;0;9;11;8;1;4;9;1;0;1;0;0;0;0;0;1;0;0;0;0;2;1;3;0;0;1;1;0;1;0;0;0;0;0;2
8201;Marquardt;867;88;955;518;0;7;511;95;70;73;91;90;1;26;6;12;2;6;9;2;0;1;1;0;1;0;0;0;3;2;0;3;0;1;0;1;0;4;0;0;0;0;0;0;1;1;9
8301;Satzkorn;269;60;329;205;1;1;204;39;32;38;32;34;0;12;1;1;0;2;5;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
8401;Fahrland - V.-Stechow-Str./Rotkehlchenwe;657;157;814;369;0;2;367;51;76;33;58;56;1;28;7;12;2;6;14;1;1;2;1;0;1;0;2;0;0;0;1;3;0;0;0;0;0;0;1;0;0;1;0;1;5;3;0
8404;Fahrland - Kietzer Str./Pastor-Moritz-St;987;163;1150;438;2;3;435;63;55;58;83;65;2;27;6;15;2;4;19;0;0;1;0;1;0;10;1;1;1;2;1;5;1;2;0;0;0;2;2;0;0;1;0;1;1;2;1
8501;Neu Fahrland;934;311;1245;584;4;6;578;86;109;60;102;113;1;19;4;11;6;5;22;0;2;6;0;0;2;5;1;0;0;0;0;1;0;2;6;1;0;0;2;0;1;1;2;0;2;2;4
8602;Groß Glienicke - Bullenwinkel/Braumannwe;805;242;1047;530;4;4;526;81;123;44;61;124;1;33;5;11;1;5;16;1;1;4;0;0;0;3;1;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;1;1;1;3
8603;Groß Glienicke - Bergstr./Seepromenade;700;181;881;472;1;6;466;76;108;40;45;100;0;32;5;10;2;7;11;1;0;2;0;0;0;5;3;0;1;0;0;4;0;5;1;0;0;1;0;0;0;0;0;0;0;0;7
8604;Groß Glienicke - An der Kirche;750;136;886;381;3;1;380;76;71;45;58;59;3;18;5;7;3;6;10;0;0;0;0;0;1;1;3;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;2;2;6
9031;Potsdam Briefwahlbezirk 9031;0;0;0;511;511;1;510;81;115;45;29;116;0;49;1;9;2;2;14;2;2;3;2;0;3;0;0;0;0;0;0;11;0;0;0;0;1;3;5;2;1;0;0;1;0;1;10
9035;Potsdam Briefwahlbezirk 9035;0;0;0;484;484;3;481;72;56;48;28;155;1;22;1;14;1;3;36;1;3;2;0;0;0;0;1;1;0;3;0;10;0;1;0;2;0;1;3;0;0;0;1;0;1;1;13
9036;Potsdam Briefwahlbezirk 9036;0;0;0;624;624;3;621;123;79;104;48;165;2;9;3;11;5;3;26;1;1;2;1;1;0;0;1;0;0;2;1;3;0;3;0;0;1;5;2;2;0;0;4;2;2;3;6
9037;Potsdam Briefwahlbezirk 9037;0;0;0;498;498;1;497;74;56;79;32;146;0;21;1;10;3;2;29;0;1;9;2;0;1;1;1;3;0;0;0;7;0;2;1;2;0;0;0;0;1;1;0;0;2;0;10
9040;Potsdam Briefwahlbezirk 9040;0;0;0;473;473;2;471;75;103;39;46;97;1;37;4;3;0;3;17;1;2;4;0;0;1;4;1;1;0;2;2;0;0;2;1;1;0;2;5;0;0;0;3;1;1;4;8
9041;Potsdam Briefwahlbezirk 9041;0;0;0;631;631;3;628;96;114;82;54;146;1;33;4;9;5;8;31;1;0;4;0;0;0;3;2;0;0;2;2;3;0;4;0;2;1;2;7;1;2;0;0;0;1;0;8
9044;Potsdam Briefwahlbezirk 9044;0;0;0;526;526;1;525;83;86;44;46;145;1;37;4;17;2;4;24;1;0;5;0;0;0;0;3;1;0;1;0;2;0;1;0;2;0;1;3;3;0;1;0;0;0;2;6
9050;Potsdam Briefwahlbezirk 9050;0;0;0;435;435;13;422;79;76;60;30;88;0;12;7;3;3;10;31;1;1;2;2;0;0;0;1;0;0;1;1;1;0;2;1;0;0;1;0;0;0;0;0;3;0;0;6
9051;Potsdam Briefwahlbezirk 9051;0;0;0;660;660;0;660;131;69;99;38;157;0;25;2;12;3;9;53;0;1;5;0;0;0;1;1;0;0;2;3;11;0;2;1;0;0;1;5;2;0;1;7;0;2;5;12
9058;Potsdam Briefwahlbezirk 9058;0;0;0;533;533;1;532;82;83;55;20;173;0;45;2;8;3;4;26;0;3;0;0;0;0;1;2;0;0;4;0;4;0;0;0;0;0;2;0;2;1;0;3;0;1;2;6
9059;Potsdam Briefwahlbezirk 9059;0;0;0;452;452;5;447;92;32;49;13;166;0;17;1;6;2;2;24;1;1;3;2;2;0;3;1;5;0;1;0;5;0;2;0;0;2;0;1;1;2;1;0;2;2;1;5
9060;Potsdam Briefwahlbezirk 9060;0;0;0;425;425;2;423;84;47;50;22;135;1;13;3;3;1;3;25;0;2;0;0;0;0;0;0;1;0;3;2;13;0;0;0;0;1;1;0;0;0;0;3;1;1;0;8
9062;Potsdam Briefwahlbezirk 9062;0;0;0;745;745;16;729;134;88;98;59;184;2;28;5;19;6;7;36;2;2;8;1;0;0;1;1;2;0;2;1;9;0;3;0;0;2;3;2;1;0;0;0;3;2;2;16
9064;Potsdam Briefwahlbezirk 9064;0;0;0;695;695;4;691;116;103;115;67;151;2;25;2;8;4;5;37;2;3;3;0;0;0;4;0;0;0;4;2;3;1;4;0;0;0;2;5;4;3;0;4;0;1;2;9
9065;Potsdam Briefwahlbezirk 9065;0;0;0;557;557;10;547;98;54;119;79;62;2;24;7;7;7;10;28;3;2;3;1;0;0;6;2;0;1;1;1;5;0;0;1;0;1;1;4;2;3;2;1;2;1;2;5
9068;Potsdam Briefwahlbezirk 9068;0;0;0;494;494;1;493;122;40;108;62;58;3;12;6;5;4;5;24;1;9;2;1;0;1;3;0;0;0;0;0;6;0;2;0;0;0;1;6;3;0;0;0;0;2;3;4
9069;Potsdam Briefwahlbezirk 9069;0;0;0;480;480;5;475;99;44;110;68;53;4;15;7;8;3;1;24;3;2;2;3;0;1;1;1;1;0;3;3;2;1;0;1;0;0;1;2;3;0;0;0;0;1;5;3
9070;Potsdam Briefwahlbezirk 9070;0;0;0;540;540;6;534;127;89;85;63;85;0;24;6;6;4;4;12;2;1;4;0;0;0;0;3;1;0;0;1;3;0;1;0;0;0;2;4;1;0;0;1;0;0;2;3
0;Europawahl 2019 Potsdam;109590;25504;135094;86270;23852;719;85551;15230;10733;12502;9322;19813;179;3698;906;1696;580;674;4229;140;218;523;87;22;54;302;226;87;32;181;88;681;65;243;55;89;111;227;237;113;115;58;255;180;232;237;1131
1101;Bornim - Max-Eyth-Allee/Lerchensteig;928;187;1115;498;1;6;492;77;84;48;79;90;4;27;11;11;3;6;22;0;0;3;0;0;1;3;0;0;0;1;2;2;0;1;0;0;1;2;0;1;1;0;2;1;0;3;6
1102;Bornim - Ortslage/Hügelweg;1077;260;1337;724;2;4;720;139;131;64;92;153;1;40;10;10;3;4;25;1;0;6;1;0;5;4;2;0;0;0;2;3;1;2;0;0;0;2;0;2;1;0;0;0;2;3;11
1303;Bornstedt - Am Krongut/Katharinenholzstr;849;276;1125;564;0;3;561;78;94;54;43;183;1;34;3;13;3;4;14;1;1;4;0;0;0;1;2;0;0;1;0;1;0;0;0;0;1;5;3;1;0;0;1;1;3;2;9
1304;Bornstedt - Kirschallee/Thaerstr.;918;289;1207;594;3;3;591;102;106;56;64;153;0;41;6;7;2;2;15;1;1;1;1;0;1;0;1;0;0;0;1;6;0;2;0;0;2;2;1;0;2;1;0;0;1;0;13
1305;Bornstedt - Stechlinweg;1066;259;1325;602;0;8;594;121;75;65;45;151;0;25;9;16;0;1;40;0;0;13;1;0;0;1;3;2;0;0;0;5;0;0;1;0;0;2;2;0;0;1;0;4;1;1;9
1306;Bornstedt - Hermann-Mattern-Promenade;771;225;996;612;2;2;610;117;100;52;41;203;0;41;2;5;4;1;14;0;0;4;0;0;0;0;0;2;0;0;0;7;0;0;0;0;1;1;0;0;0;0;2;1;1;1;10
1307;Bornstedt - Jakob-von-Gundling-Str.;926;274;1200;580;4;10;570;113;67;79;61;144;0;18;10;10;1;5;25;0;0;4;0;0;0;4;2;0;0;0;0;4;1;1;0;0;1;3;1;0;4;0;1;4;0;1;6
1308;Bornstedt - Reiherweg/David-Gilly-Str.;774;227;1001;412;0;3;409;58;55;48;58;120;1;18;4;6;2;2;13;0;0;2;0;0;0;1;0;1;0;1;0;3;0;1;1;1;0;0;0;3;0;0;0;0;2;1;7
1502;Eiche - Kaiser-Friedrich-Str. Süd;593;166;759;341;0;2;339;52;42;42;54;72;0;20;4;7;3;3;15;1;2;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;1;2;0;2;1;0;1;7
1503;Eiche - Altes Rad West/Lindstedter Str.;939;219;1158;571;1;1;570;128;75;67;60;139;1;16;7;8;5;3;28;0;0;2;1;0;0;0;1;1;0;0;0;3;0;1;1;1;0;1;0;1;1;1;1;4;4;2;7
1702;Golm - Geiselbergstr./Am Mühlenberg;799;191;990;523;2;9;514;91;96;49;62;109;2;22;5;11;2;8;12;0;1;7;0;0;1;5;2;0;0;0;2;2;1;3;0;1;1;0;3;0;0;0;1;2;2;5;6
3102;Brandenburger Vorstadt - Feuerbachstr.;821;204;1025;547;3;2;545;75;32;63;39;202;1;20;2;7;7;2;32;0;0;4;0;0;0;0;0;1;0;2;1;11;1;2;0;0;1;3;2;1;1;1;11;0;0;2;19
3103;Brandenburger Vorstadt - Clara-Zetkin-S.;850;252;1102;550;0;9;541;57;53;78;28;194;1;17;3;7;2;4;47;1;2;3;0;0;0;2;3;0;0;8;0;6;0;0;0;0;3;0;1;2;0;0;2;2;1;0;14
3104;Brandenburger Vorstadt - Auf dem Kiewitt;1041;214;1255;606;0;3;603;200;81;124;61;65;0;11;3;7;0;1;22;0;1;1;0;1;0;4;0;0;0;2;0;0;2;4;0;1;0;1;3;0;0;0;0;0;2;3;3
3105;Brandenburger Vorstadt - Park Sanssouci;907;311;1218;674;0;5;669;92;51;94;49;246;0;15;2;5;4;0;48;1;1;2;1;0;0;1;1;2;1;1;0;13;0;1;0;0;1;2;3;1;0;0;12;0;2;1;16
3107;Brandenburger Vorstadt - Schillerplatz;988;216;1204;570;4;5;565;149;57;90;74;94;0;13;3;20;3;1;29;0;0;2;1;0;1;2;0;1;0;2;0;6;0;0;0;0;0;1;1;0;0;0;1;1;3;2;8
3205;Potsdam West - Im Bogen/Am Wildpark;926;270;1196;634;0;5;629;116;78;81;65;162;0;22;11;20;6;5;28;0;2;3;1;0;0;2;4;1;0;0;0;6;0;0;0;1;0;3;2;0;0;0;0;0;1;1;8
4101;Innenstadt - Schopenhauerstr./Jägerallee;921;280;1201;608;0;4;604;91;79;52;33;196;0;31;3;14;1;6;40;0;0;7;1;1;0;2;5;0;0;2;1;8;0;0;3;3;1;3;2;0;1;0;3;0;1;0;14
4102;Innenstadt - Kurfürstenstr.;956;323;1279;604;0;5;599;95;89;58;45;182;1;32;2;11;3;4;35;0;0;4;0;0;0;1;1;3;0;0;0;9;0;0;0;3;0;1;1;0;0;0;1;5;1;1;11
4106;Innenstadt - Alter Markt/Wall am Kiez;774;227;1001;384;1;0;384;58;50;58;50;88;0;18;4;5;4;2;20;1;1;2;0;0;0;2;2;0;0;1;0;2;0;0;0;1;0;0;1;0;1;0;1;1;0;1;10
4202;Zentrum Ost - Hans-Marchwitza-Ring;780;128;908;380;0;4;376;57;21;81;42;81;1;6;2;11;2;5;28;1;2;4;0;0;0;5;4;0;0;3;0;3;0;0;1;0;0;1;0;0;1;0;0;3;0;0;11
5202;Babelsberg Nord - Karl-Marx-Str./Donarst;830;299;1129;599;2;3;596;92;113;60;44;171;0;52;2;5;2;5;16;1;1;8;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;1;1;0;1;1;1;2;5;0;6
5204;Babelsberg Nord - Plantagenplatz;871;255;1126;657;0;3;654;95;96;63;57;224;0;28;3;11;3;7;29;0;3;5;0;0;0;3;2;0;0;0;1;4;0;2;1;0;1;0;0;1;1;1;2;2;2;0;7
5205;Babelsberg Nord - Weberplatz/Alt Nowawes;961;239;1200;690;5;4;686;100;56;92;57;229;0;26;4;15;3;1;52;0;1;4;0;1;0;0;5;0;0;2;2;6;0;0;0;0;1;4;0;0;1;1;1;4;2;0;16
5301;Babelsberg Süd - Neuendorfer Anger;904;231;1135;575;2;7;568;89;47;77;45;150;1;26;6;17;5;5;55;1;2;2;0;0;0;3;0;0;0;0;1;4;1;0;0;2;0;0;2;1;0;0;5;5;2;1;13
5302;Babelsberg Süd - H-v-Kleist-Str./Wattstr;900;260;1160;576;2;2;574;82;49;93;34;183;0;17;7;7;4;5;44;0;4;8;1;0;0;3;1;1;0;0;0;9;0;4;1;0;0;0;1;0;1;0;1;2;1;1;10
5308;Babelsberg Süd - Schulstr./Fultonstr.;943;245;1188;672;4;4;668;82;46;75;35;278;0;18;4;18;10;3;46;1;1;4;0;0;0;1;3;3;0;0;1;5;0;3;0;0;1;2;0;1;3;0;4;1;2;2;15
5309;Babelsberg Süd - Walter-Klausch-Str.;599;154;753;416;1;0;416;65;46;49;25;116;0;16;6;8;3;6;44;0;1;1;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;1;2;0;2;0;2;2;2;1;14
6202;Teltower Vorstadt - Kunersdorfer Str.;840;228;1068;543;2;3;540;123;66;83;61;102;0;17;8;10;2;6;25;2;1;2;0;0;4;1;0;0;1;3;0;1;0;2;0;1;1;1;4;0;1;0;1;0;0;1;10
6301;Schlaatz - Sperberhorst;778;125;903;325;0;4;321;72;20;63;53;43;1;9;5;8;3;4;16;0;3;0;2;0;0;2;0;0;2;1;1;0;1;1;1;0;0;3;0;0;0;1;0;1;1;2;2
6303;Schlaatz - Erlenhof;899;120;1019;350;1;3;347;70;27;70;65;53;1;5;1;8;5;0;13;0;2;0;0;0;0;2;2;0;0;0;0;0;3;6;1;0;1;0;2;1;0;1;0;2;0;2;4
6307;Schlaatz - Wieselkiez;723;61;784;256;3;1;255;38;12;50;57;36;3;1;2;8;4;5;17;0;0;0;0;0;0;0;1;2;0;1;0;2;1;4;0;0;0;0;0;0;2;0;2;1;1;2;3
6401;Waldstadt I - Käthe-Kollwitz-Str.;981;260;1241;521;0;3;518;134;54;84;65;86;2;20;5;12;5;10;19;2;3;0;0;0;0;1;3;0;0;0;0;4;0;1;0;0;0;1;1;2;1;0;0;0;1;1;1
6404;Waldstadt I - Bertolt-Brecht-Str.;1409;274;1683;723;1;16;707;168;79;122;106;83;0;33;9;13;9;5;30;0;5;4;0;1;0;2;5;1;0;2;4;0;2;4;0;0;2;0;1;1;1;1;1;1;2;3;7
6501;Waldstadt II - Zum Kahleberg;1183;235;1418;578;2;7;571;116;43;116;92;79;3;18;13;13;4;10;24;0;8;2;0;0;0;5;1;0;0;1;0;3;0;1;1;0;0;1;0;2;0;0;0;3;3;1;8
6504;Waldstadt II - Saarmunder Str.;1029;159;1188;371;0;3;368;69;32;100;42;46;5;4;6;12;5;4;14;0;0;1;2;0;0;1;4;0;1;0;0;4;2;0;0;2;0;2;2;0;2;0;0;2;1;1;2
6507;Waldstadt II - Moosglöckchenweg;849;119;968;435;0;6;429;66;34;95;92;58;4;9;9;13;3;6;18;1;0;4;2;0;0;1;1;0;0;0;1;2;0;1;0;0;0;3;1;0;0;0;2;0;1;0;2
7101;Stern - Musikerviertel;1052;274;1326;638;1;2;636;115;83;104;83;137;1;24;7;10;6;3;22;2;1;3;1;0;0;2;0;0;0;2;0;5;2;2;1;3;0;1;1;3;1;0;1;1;3;4;2
7103;Stern - Fichtenallee/Im Schäferfeld;1017;166;1183;509;0;7;502;99;63;109;81;76;1;10;3;10;3;0;13;2;1;0;0;0;0;4;3;3;0;3;0;0;2;4;0;0;1;2;5;0;2;0;0;0;0;0;2
7109;Stern - Niels-Bohr-Ring;685;94;779;311;1;4;307;65;27;77;54;25;3;10;6;0;4;4;18;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;2
7201;Drewitz - Alt Drewitz/Am Silbergraben;858;153;1011;470;2;6;464;79;85;44;84;71;0;27;6;7;5;3;29;1;1;0;0;1;0;2;1;1;0;0;0;0;0;2;1;1;0;1;1;0;1;0;1;0;1;1;7
7203;Drewitz - Paul-Wegener-Str./Priesterweg;615;78;693;224;0;4;220;44;16;46;41;31;2;5;8;2;2;2;6;1;1;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;1;3;0;0;0;0;1;2;0;1
7204;Drewitz - Conrad-Veidt-Str.;718;53;771;277;0;11;266;40;17;66;67;30;2;4;6;7;7;4;8;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2
7303;Kirchsteigfeld - Zum Teich/Schinkelstr.;952;148;1100;572;0;3;569;134;86;95;74;79;0;33;8;6;1;3;14;0;0;2;0;0;1;4;7;0;0;0;0;7;0;0;2;1;0;4;2;0;1;0;2;0;0;0;3
8101;Uetz-Paaren;289;70;359;190;0;4;186;33;25;22;41;18;0;12;4;5;0;5;8;1;0;2;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;2;0;0;0;1;1;0;0;1
8403;Fahrland - An der Jubelitz;734;105;839;350;0;3;347;64;57;37;64;58;0;14;6;8;1;2;9;0;1;3;1;0;0;1;2;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;1;5;2;6
8601;Groß Glienicke - Glienicker Dorfstr.;542;104;646;297;0;5;292;57;56;25;35;69;1;22;0;5;1;3;4;0;0;1;0;0;0;1;2;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;1;2;2
9032;Potsdam Briefwahlbezirk 9032;0;0;0;440;440;5;435;90;74;44;42;114;0;25;2;7;0;1;14;1;0;3;0;0;1;1;0;0;0;4;0;4;0;0;0;0;0;1;1;0;1;0;0;0;0;2;3
9039;Potsdam Briefwahlbezirk 9039;0;0;0;640;640;1;639;102;129;63;65;137;2;55;3;13;2;10;16;0;2;0;0;0;0;5;2;0;2;2;0;1;0;3;0;2;2;2;2;0;3;0;0;2;1;2;9
9042;Potsdam Briefwahlbezirk 9042;0;0;0;508;508;0;508;107;111;47;37;102;2;22;4;11;5;6;21;1;1;1;0;0;1;1;3;2;0;1;2;2;0;2;0;1;0;2;0;1;1;0;0;0;3;3;5
9043;Potsdam Briefwahlbezirk 9043;0;0;0;462;462;1;461;94;83;47;49;113;0;22;5;8;2;4;14;0;0;0;1;0;0;1;4;0;0;0;0;2;0;0;1;0;0;3;0;0;0;0;2;0;0;2;4
9053;Potsdam Briefwahlbezirk 9053;0;0;0;655;655;1;654;111;60;97;44;204;0;12;4;11;6;1;53;0;2;4;0;0;0;1;1;0;0;4;0;8;0;3;0;0;1;1;0;1;2;0;5;2;4;0;12
9054;Potsdam Briefwahlbezirk 9054;0;0;0;648;648;3;645;123;74;127;42;162;0;19;4;7;4;4;39;1;0;4;2;0;0;1;1;0;1;1;0;7;2;4;0;1;2;3;0;0;1;1;2;1;1;1;3
9056;Potsdam Briefwahlbezirk 9056;0;0;0;650;650;6;644;121;75;121;77;119;0;24;7;20;4;1;29;4;4;4;0;0;1;2;4;1;1;0;0;1;1;1;0;0;1;2;3;0;2;0;2;1;3;3;5
9057;Potsdam Briefwahlbezirk 9057;0;0;0;487;487;0;487;88;83;49;44;141;0;37;2;6;1;0;10;0;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;12
9061;Potsdam Briefwahlbezirk 9061;0;0;0;647;647;6;641;112;59;100;46;161;1;29;6;13;8;10;51;2;1;1;1;0;0;1;1;0;0;1;0;8;0;3;0;0;0;0;1;2;4;0;4;2;1;1;11
9063;Potsdam Briefwahlbezirk 9063;0;0;0;501;501;2;499;92;51;54;32;160;0;20;0;12;3;6;37;4;0;2;0;0;0;1;1;0;0;2;0;7;0;1;0;0;1;2;2;0;0;0;4;1;1;0;3
9071;Potsdam Briefwahlbezirk 9071;0;0;0;564;564;2;562;108;82;136;66;75;2;20;5;9;1;9;15;0;3;1;0;0;1;2;1;0;0;3;2;2;3;4;0;0;1;1;1;3;0;0;1;0;2;2;1
