Nr;Wahlkreis;Name;Wahlb. insges.;Wähler;Ungült. Erststimmen;Gültige Erststimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Piratenpartei Deutschland;Freie Demokratische Partei;Ökologisch-Demokratische Partei;PARTEI MENSCH UMWELT TIERSCHUTZ;V-Partei³ – Partei für Veränderung, Vegetarier und Vega;Einzelbewerber Charnow;Einzelbewerberin Ennullat;Einzelbewerber Fuhl;Einzelbewerber Hoffmann;Einzelbewerber Müller;Deutsche Kommunistische Partei;DEUTSCHE KONSERVATIVE;Einzelbewerber Herbig;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Einzelbewerber Respa;Sonstige
6501;0022;Waldstadt II - Zum Kahleberg;1538;737;22;715;215;53;146;145;80;22;0;19;0;0;0;1;0;0;0;0;6;0;0;28;0;0
4205;0022;Südliche Innenstadt - Hauptbahnhof;1594;609;3;606;159;45;102;55;173;13;0;23;0;0;0;1;0;0;0;0;1;0;0;34;0;0
7108;0022;Stern - Leibnizring;786;293;6;287;81;15;82;67;20;7;0;9;0;0;0;1;0;0;0;0;1;0;0;4;0;0
6203;0022;Teltower Vorstadt - Siedlung Eigenheim;1228;718;6;712;207;84;131;94;101;21;0;42;0;0;0;1;0;0;0;0;9;0;0;22;0;0
6506;0022;Waldstadt II - Liefelds Grund;914;355;3;352;88;32;94;84;23;16;0;3;0;0;0;2;0;0;0;0;0;0;0;10;0;0
6504;0022;Waldstadt II - Saarmunder Str.;1209;407;9;398;105;30;111;70;43;14;0;4;0;0;0;2;0;0;0;0;4;0;0;15;0;0
7105;0022;Stern - Parforceheide;1167;549;11;538;159;51;125;77;66;14;0;21;0;0;0;6;0;0;0;0;0;0;0;19;0;0
7102;0022;Stern - Lilienthalstr.;1141;504;11;493;103;43;147;115;40;16;0;12;0;0;0;4;0;0;0;0;2;0;0;11;0;0
7201;0022;Drewitz - Alt Drewitz/Am Silbergraben;1045;542;12;530;158;66;80;116;47;21;0;20;0;0;0;2;0;0;0;0;0;0;0;20;0;0
7103;0022;Stern - Fichtenallee/Im Schäferfeld;1177;566;6;560;135;59;176;116;43;10;0;10;0;0;0;3;0;0;0;0;1;0;0;7;0;0
1101;0019;Bornim - Max-Eyth-Allee/Lerchensteig;1120;571;6;565;163;101;60;106;74;23;0;33;0;0;0;0;0;0;0;5;0;0;0;0;0;0
7106;0022;Stern - Johannes-Kepler-Platz/Chopinstr.;1101;465;10;455;120;28;161;89;21;11;0;14;0;0;0;1;0;0;0;0;0;0;0;10;0;0
1102;0019;Bornim - Ortslage/Hügelweg;1362;792;8;784;248;145;73;107;136;38;0;32;0;0;0;0;0;0;0;5;0;0;0;0;0;0
7110;0022;Stern - Otto-Hahn-Ring;895;325;6;319;83;17;95;58;31;13;0;10;0;0;0;4;0;0;0;0;0;0;0;8;0;0
1301;0019;Nedlitz, Bornstedt - Viereckremise;1008;535;2;533;140;69;74;69;134;21;0;23;0;0;0;0;0;0;0;3;0;0;0;0;0;0
7205;0022;Drewitz - Willy-A.-Kleinau-Weg;754;264;5;259;71;15;65;68;11;8;0;9;0;0;0;4;0;0;0;0;4;0;0;4;0;0
9062;0022;Potsdam Briefwahlbezirk 9062;0;545;6;539;132;71;116;68;96;20;0;17;0;0;0;5;0;0;0;0;3;0;0;11;0;0
1307;0019;Bornstedt - Jakob-von-Gundling-Str.;1227;617;1;616;196;83;105;61;132;19;0;15;0;0;0;0;0;0;0;5;0;0;0;0;0;0
1309;0019;Bornstedt - A.-Wolff-Platz/E.-Arendt-Str;1742;847;4;843;220;123;105;75;242;29;0;46;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1703;0019;Golm - Grasmückenring/An der Bahn;581;332;3;329;99;57;41;44;72;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1505;0019;Werder (Havel), Karl-Hagemeister-Grundsc;860;342;5;337;90;60;40;78;30;23;0;12;0;0;0;0;0;0;0;4;0;0;0;0;0;0
2104;0021;Nauener Vorstadt - Rote Kaserne/SAP;1002;531;1;530;143;91;40;31;164;21;0;27;0;0;0;0;0;0;0;0;0;0;0;13;0;0
4101;0021;Innenstadt - Schopenhauerstr./Jägerallee;1210;671;2;669;200;81;79;44;201;17;0;33;0;0;0;0;0;0;0;0;0;0;0;14;0;0
4103;0021;Innenstadt - Hans-Thoma-Str./Türckstr.;1087;490;6;484;136;46;94;23;148;7;0;11;0;0;0;0;0;0;0;0;0;0;0;19;0;0
4108;0021;Innenstadt - Brandenburger Str. Nord;1178;652;5;647;145;83;91;48;212;18;0;27;0;0;0;0;0;0;0;0;0;0;0;23;0;0
5201;0021;Babelsberg Nord - Klein Glienicke;960;520;4;516;139;73;57;34;158;10;0;34;0;0;0;0;0;0;0;0;0;0;0;11;0;0
5202;0021;Babelsberg Nord - Karl-Marx-Str./Donarst;1160;646;7;639;171;122;59;70;153;14;0;43;0;0;0;0;0;0;0;0;0;0;0;7;0;0
5204;0021;Babelsberg Nord - Plantagenplatz;1178;711;4;707;193;87;78;70;223;17;0;25;0;0;0;0;0;0;0;0;0;0;0;14;0;0
9041;0021;Potsdam Briefwahlbezirk 9041;0;460;2;458;112;72;57;36;114;18;0;38;0;0;0;0;0;0;0;0;0;0;0;11;0;0
6403;0022;Waldstadt I - Bernhard-Kellermann-Str.;1104;540;2;538;166;54;111;112;46;27;0;3;0;0;0;1;0;0;0;0;13;0;0;5;0;0
6507;0022;Waldstadt II - Moosglöckchenweg;980;462;3;459;121;36;108;116;42;8;0;8;0;0;0;0;0;0;0;0;3;0;0;17;0;0
7303;0022;Kirchsteigfeld - Zum Teich/Schinkelstr.;1149;657;2;655;215;102;122;103;53;10;0;28;0;0;0;4;0;0;0;0;0;0;0;18;0;0
9063;0022;Potsdam Briefwahlbezirk 9063;0;661;10;651;162;54;176;127;70;19;0;12;0;0;0;6;0;0;0;0;4;0;0;21;0;0
9065;0022;Potsdam Briefwahlbezirk 9065;0;624;2;622;152;54;192;83;69;21;0;17;0;0;0;3;0;0;0;0;6;0;0;25;0;0
1302;0019;Bornstedt - Fliederweg;1183;635;4;631;196;91;85;94;109;31;0;23;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1305;0019;Bornstedt - Stechlinweg;1323;601;10;591;200;79;92;62;119;22;0;11;0;0;0;0;0;0;0;6;0;0;0;0;0;0
8403;0019;Fahrland - An der Jubelitz;845;373;3;370;89;59;52;86;57;13;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1501;0019;Eiche - Altes Rad Ost;1101;593;5;588;160;109;71;83;131;13;0;14;0;0;0;0;0;0;0;7;0;0;0;0;0;0
1701;0019;Golm - Ehrenpfortenbergstr.;786;450;7;443;109;81;62;63;92;23;0;11;0;0;0;0;0;0;0;2;0;0;0;0;0;0
8603;0019;Groß Glienicke - Bergstr./Seepromenade;906;508;8;500;136;111;43;50;105;23;0;31;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9072;0019;Potsdam Briefwahlbezirk 9072;0;565;6;559;133;120;87;78;99;22;0;15;0;0;0;0;0;0;0;5;0;0;0;0;0;0
1203;0019;Schwielowsee, OT Caputh, Gebäude Kita;1122;594;7;587;136;97;56;76;123;74;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1510;0019;Werder (Havel), Carl-von-Ossietzky-Obers;904;309;5;304;76;63;61;65;14;20;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1515;0019;Werder (Havel), OT Bliesendorf, GZ Blies;461;273;4;269;56;95;34;45;12;18;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1509;0019;Werder (Havel), Horthaus;1027;369;2;367;103;76;33;75;37;23;0;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0
1516;0019;Werder (Havel), OT Glindow, Hort Sunshin;1202;562;12;550;160;128;55;103;57;30;0;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1517;0019;Werder (Havel), OT Glindow, Hort Sunshin;1243;565;11;554;132;101;73;125;71;34;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1518;0019;Werder (Havel), GT Elisabethhöhe, GZ Bli;953;476;7;469;95;104;47;124;44;37;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1522;0019;Werder (Havel), OT Töplitz, Haus des Bür;778;415;8;407;120;95;29;81;48;21;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1525;0019;Werder (Havel), OT Derwitz, Gemeindezent;358;205;7;198;42;53;21;53;11;14;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9013;0019;Werder (Havel), Briefwahlbezirk II;0;765;2;763;174;163;97;95;136;56;0;25;0;0;0;0;0;0;0;17;0;0;0;0;0;0
2201;0021;Jägervorstadt - Am Ruinenberg;1149;595;6;589;154;108;60;69;145;13;0;28;0;0;0;0;0;0;0;0;0;0;0;12;0;0
2301;0021;Berliner Vorstadt - Ludwig-Richter-Str.;1234;589;1;588;149;179;42;65;87;14;0;47;0;0;0;0;0;0;0;0;0;0;0;5;0;0
3104;0021;Brandenburger Vorstadt - Auf dem Kiewitt;1257;658;10;648;273;72;115;109;48;9;0;9;0;0;0;0;0;0;0;0;0;0;0;13;0;0
3106;0021;Brandenburger Vorstadt - Tschäpe-Platz;1140;677;3;674;152;59;106;24;279;10;0;21;0;0;0;0;0;0;0;0;0;0;0;23;0;0
3201;0021;Potsdam West - Geschwister-Scholl-Str.;1190;605;6;599;182;50;123;48;154;22;0;8;0;0;0;0;0;0;0;0;0;0;0;12;0;0
4107;0021;Innenstadt - Burgstr.;1222;597;6;591;216;51;122;101;63;19;0;10;0;0;0;0;0;0;0;0;0;0;0;9;0;0
4109;0021;Innenstadt - Bassinplatz;1204;564;7;557;210;59;78;53;116;11;0;17;0;0;0;0;0;0;0;0;0;0;0;13;0;0
5207;0021;Babelsberg Nord - Rathaus/Humboldtbrücke;1182;608;6;602;175;63;107;48;173;7;0;11;0;0;0;0;0;0;0;0;0;0;0;18;0;0
5305;0021;Babelsberg Süd - Dianastr./Sandscholle;1313;622;6;616;187;61;93;100;126;16;0;21;0;0;0;0;0;0;0;0;0;0;0;12;0;0
9044;0021;Potsdam Briefwahlbezirk 9044;0;560;3;557;140;71;119;43;134;17;0;12;0;0;0;0;0;0;0;0;0;0;0;21;0;0
9045;0021;Potsdam Briefwahlbezirk 9045;0;696;5;691;163;70;133;49;222;16;0;14;0;0;0;0;0;0;0;0;0;0;0;24;0;0
9058;0021;Potsdam Briefwahlbezirk 9058;0;705;5;700;164;73;130;54;201;21;0;27;0;0;0;0;0;0;0;0;0;0;0;30;0;0
9060;0021;Potsdam Briefwahlbezirk 9060;0;628;2;626;112;90;102;40;220;13;0;13;0;0;0;0;0;0;0;0;0;0;0;36;0;0
4203;0022;Zentrum Ost - Lotte-Pulewka-Str.;1027;458;9;449;123;23;137;82;51;9;0;14;0;0;0;0;0;0;0;0;0;0;0;10;0;0
9059;0021;Potsdam Briefwahlbezirk 9059;0;878;3;875;209;96;133;81;262;32;0;26;0;0;0;0;0;0;0;0;0;0;0;36;0;0
6302;0022;Schlaatz - Milanhorst;812;290;4;286;66;23;62;83;31;12;0;4;0;0;0;0;0;0;0;0;1;0;0;4;0;0
6402;0022;Waldstadt I -Am Stadtrand/Industriegelän;956;426;5;421;119;36;101;103;27;15;0;11;0;0;0;1;0;0;0;0;0;0;0;8;0;0
6503;0022;Waldstadt II - Kiefernring/Sonnentaustr.;1024;401;6;395;67;40;94;105;41;18;0;11;0;0;0;1;0;0;0;0;1;0;0;17;0;0
6502;0022;Waldstadt II - Ginsterweg;1146;457;9;448;131;38;84;115;43;11;0;11;0;0;0;1;0;0;0;0;1;0;0;13;0;0
6505;0022;Waldstadt II - Am Springbruch;1111;462;5;457;114;35;94;120;34;22;0;12;0;0;0;5;0;0;0;0;2;0;0;19;0;0
7107;0022;Stern - Laplacering;852;323;5;318;74;24;83;91;18;7;0;9;0;0;0;2;0;0;0;0;0;0;0;10;0;0
7202;0022;Drewitz - Sterncenter/Erich-Pommer-Str.;1051;436;11;425;135;40;120;74;25;14;0;4;0;0;0;3;0;0;0;0;1;0;0;9;0;0
7113;0022;Stern - Kohlhasenbrücker Str.;889;463;2;461;148;58;106;56;44;17;0;20;0;0;0;1;0;0;0;0;1;0;0;10;0;0
7204;0022;Drewitz - Conrad-Veidt-Str.;797;309;5;304;68;16;82;89;25;6;0;3;0;0;0;2;0;0;0;0;2;0;0;11;0;0
7302;0022;Kirchsteigfeld - Priesterweg;1015;465;7;458;117;35;95;111;44;14;0;17;0;0;0;4;0;0;0;0;2;0;0;19;0;0
9061;0022;Potsdam Briefwahlbezirk 9061;0;582;2;580;127;94;102;55;137;16;0;21;0;0;0;1;0;0;0;0;0;0;0;27;0;0
9067;0022;Potsdam Briefwahlbezirk 9067;0;797;5;792;175;107;235;111;83;18;0;31;0;0;0;4;0;0;0;0;2;0;0;26;0;0
9069;0022;Potsdam Briefwahlbezirk 9069;0;736;8;728;178;77;233;101;72;9;0;28;0;0;0;10;0;0;0;0;3;0;0;17;0;0
9068;0022;Potsdam Briefwahlbezirk 9068;0;747;10;737;166;76;270;92;69;23;0;24;0;0;0;9;0;0;0;0;1;0;0;7;0;0
1401;0019;Sacrow;109;60;0;60;16;12;9;8;11;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8402;0019;Fahrland - Kartzower Dorfstr.;1069;506;5;501;110;99;73;113;58;33;0;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9033;0019;Potsdam Briefwahlbezirk 9033;0;578;1;577;161;136;54;51;125;26;0;21;0;0;0;0;0;0;0;3;0;0;0;0;0;0
9036;0019;Potsdam Briefwahlbezirk 9036;0;473;1;472;123;74;81;40;101;16;0;25;0;0;0;0;0;0;0;12;0;0;0;0;0;0
9074;0019;Potsdam Briefwahlbezirk 9074;0;664;7;657;143;157;69;76;131;49;0;29;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1205;0019;Schwielowsee, OT Ferch, Sportlerheim;768;460;5;455;75;74;34;84;44;134;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1501;0019;Werder (Havel), Traumfänger;1009;621;4;617;158;152;51;92;97;38;0;27;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1503;0019;Werder (Havel), Gymnasium II;1020;561;5;556;147;117;52;100;80;27;0;27;0;0;0;0;0;0;0;6;0;0;0;0;0;0
1519;0019;Werder (Havel), GT Plessow, Alte Schule;510;287;2;285;74;88;29;47;27;16;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1520;0019;Werder (Havel), OT Plötzin, Gemeindezent;281;153;5;148;29;46;10;38;11;10;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9012;0019;Werder (Havel), Briefwahlbezirk I;0;755;7;748;157;172;97;89;138;47;0;34;0;0;0;0;0;0;0;14;0;0;0;0;0;0
3101;0021;Brandenburger Vorstadt - Luisenplatz;1185;560;4;556;157;61;116;78;103;12;0;15;0;0;0;0;0;0;0;0;0;0;0;14;0;0
3108;0021;Brandenburger Vorstadt - Hans-Sachs-Str.;1137;706;3;703;169;37;121;51;273;17;0;15;0;0;0;0;0;0;0;0;0;0;0;20;0;0
3204;0021;Potsdam West - Knobelsdorffstr.;1276;637;9;628;193;48;158;82;95;19;0;14;0;0;0;0;0;0;0;0;0;0;0;19;0;0
3205;0021;Potsdam West - Im Bogen/Am Wildpark;1216;714;3;711;234;68;111;86;149;24;0;30;0;0;0;0;0;0;0;0;0;0;0;9;0;0
4102;0021;Innenstadt - Kurfürstenstr.;1285;604;0;604;172;96;68;54;170;9;0;21;0;0;0;0;0;0;0;0;0;0;0;14;0;0
4105;0021;Innenstadt - Yorckstr.;1204;686;4;682;171;85;122;56;195;13;0;23;0;0;0;0;0;0;0;0;0;0;0;17;0;0
9043;0021;Potsdam Briefwahlbezirk 9043;0;772;5;767;188;73;137;58;250;14;0;26;0;0;0;0;0;0;0;0;0;0;0;21;0;0
9054;0021;Potsdam Briefwahlbezirk 9054;0;511;2;509;111;116;45;43;145;7;0;33;0;0;0;0;0;0;0;0;0;0;0;9;0;0
4202;0022;Zentrum Ost - Hans-Marchwitza-Ring;913;358;11;347;77;22;99;53;61;10;0;9;0;0;0;0;0;0;0;0;0;0;0;16;0;0
4204;0022;Zentrum Ost - Humboldtring Ost/Wiesenstr;1379;647;14;633;230;43;151;104;59;14;0;13;0;0;0;2;0;0;0;0;4;0;0;13;0;0
4206;0022;Südliche Innenstadt - Leipziger Str.;464;229;2;227;51;58;17;25;44;4;0;21;0;0;0;1;0;0;0;0;0;0;0;6;0;0
6301;0022;Schlaatz - Sperberhorst;916;369;4;365;92;23;81;90;45;8;0;14;0;0;0;2;0;0;0;0;0;0;0;10;0;0
6303;0022;Schlaatz - Erlenhof;1029;381;3;378;103;21;92;83;45;7;0;6;0;0;0;2;0;0;0;0;3;0;0;16;0;0
6304;0022;Schlaatz - H.-Muthesius-Str./Binsenhof;842;301;7;294;72;25;68;68;34;8;0;8;0;0;0;1;0;0;0;0;2;0;0;8;0;0
6305;0022;Schlaatz - Inselhof/Bisamkiez;786;252;6;246;52;12;62;66;29;10;0;8;0;0;0;0;0;0;0;0;1;0;0;6;0;0
6307;0022;Schlaatz - Wieselkiez;789;270;1;269;65;16;69;72;27;11;0;4;0;0;0;0;0;0;0;0;1;0;0;4;0;0
7104;0022;Stern - In der Aue/Gluckstr.;1285;669;5;664;180;68;180;106;63;15;0;23;0;0;0;9;0;0;0;0;2;0;0;18;0;0
7111;0022;Stern - Jagdhausstr./Eulenkamp;1035;499;11;488;133;41;156;91;30;12;0;16;0;0;0;1;0;0;0;0;0;0;0;8;0;0
7203;0022;Drewitz - Paul-Wegener-Str./Priesterweg;731;271;2;269;79;20;68;68;16;7;0;3;0;0;0;2;0;0;0;0;1;0;0;5;0;0
7206;0022;Drewitz - Gerlachstr/E-v-Winterstein-Str;711;297;3;294;73;25;55;79;19;13;0;10;0;0;0;7;0;0;0;0;0;0;0;13;0;0
7304;0022;Kirchsteigfeld - Pierre-de-Gayette-Str.;648;309;10;299;90;26;64;51;37;14;0;8;0;0;0;1;0;0;0;0;1;0;0;7;0;0
9052;0022;Potsdam Briefwahlbezirk 9052;0;706;7;699;158;82;181;91;122;13;0;15;0;0;0;3;0;0;0;0;1;0;0;33;0;0
